"","CatchId","Stage","Discharge (m3s-1)"
"1995",17596177,0.6096,0
"1996",17596177,0.9144,0
"1997",17596177,1.2192,0
"1998",17596177,1.524,0
"1999",17596177,1.8288,0
"2000",17596177,2.1336,0
"2001",17596177,2.4384,0
"2002",17596177,2.7432,0
"2003",17596177,3.048,0
"2004",17596177,3.3528,0
"2005",17596177,3.6576,0
"2006",17596177,3.9624,0
"2007",17596177,4.2672,0
"2008",17596177,4.572,0
"2009",17596177,4.8768,0
"2010",17596177,5.1816,0
"2011",17596177,5.4864,0
"2012",17596177,5.7912,0
"2013",17596177,6.096,0
"2014",17596177,6.4008,0
"2015",17596177,6.7056,0
"2016",17596177,7.0104,0
"2017",17596177,7.3152,0
"2018",17596177,7.62,0
"2019",17596177,7.9248,0
"2020",17596177,8.2296,0
"2021",17596177,8.5344,0
"2022",17596177,8.8392,0
"2023",17596177,9.144,0
"2024",17596177,9.4488,0
"2025",17596177,9.7536,0
"2026",17596177,10.0584,0
"2027",17596177,10.3632,0
"2028",17596177,10.668,0
"2029",17596177,10.9728,0
"2030",17596177,11.2776,0
"2031",17596177,11.5824,0
"2032",17596177,11.8872,0
"2033",17596177,12.192,0
"2034",17596177,12.4968,0
"2035",17596177,12.8016,0
"2036",17596177,13.1064,0
"2037",17596177,13.4112,0
"2038",17596177,13.716,0
"2039",17596177,14.0208,0
"2040",17596177,14.3256,0
"2041",17596177,14.6304,0
"2042",17596177,14.9352,0
"2043",17596177,15.24,0
"2044",17596177,15.5448,0
"2045",17596177,15.8496,0
"2046",17596177,16.1544,0
"2047",17596177,16.4592,0
"2048",17596177,16.764,0
"2049",17596177,17.0688,0
"2050",17596177,17.3736,0
"2051",17596177,17.6784,0
"2052",17596177,17.9832,0
"2053",17596177,18.288,0
"2054",17596177,18.5928,0
"2055",17596177,18.8976,0
"2056",17596177,19.2024,0
"2057",17596177,19.5072,0
"2058",17596177,19.812,0
"2059",17596177,20.1168,0
"2060",17596177,20.4216,0
"2061",17596177,20.7264,0
"2062",17596177,21.0312,0
"2063",17596177,21.336,0
"2064",17596177,21.6408,0
"2065",17596177,21.9456,0
"2066",17596177,22.2504,0
"2067",17596177,22.5552,0
"2068",17596177,22.86,0
"2069",17596177,23.1648,0
"2070",17596177,23.4696,0
"2071",17596177,23.7744,0
"2072",17596177,24.0792,0
"2073",17596177,24.384,0
"2074",17596177,24.6888,0
"2075",17596177,24.9936,0
"2076",17596143,0,0
"2077",17596143,0.3048,0.472286165592
"2078",17596143,0.6096,1.84872642822
"2079",17596143,0.9144,4.05077538955
"2080",17596143,1.2192,7.036441372
"2081",17596143,1.524,10.7585838508
"2082",17596143,1.8288,15.9451779076
"2083",17596143,2.1336,22.5689311069
"2084",17596143,2.4384,30.3560735466
"2085",17596143,2.7432,39.619098152
"2086",17596143,3.048,50.2686679846
"2087",17596143,3.3528,62.3139309956
"2088",17596143,3.6576,75.4380589081
"2089",17596143,3.9624,89.4970143614
"2090",17596143,4.2672,104.923795207
"2091",17596143,4.572,121.569164319
"2092",17596143,4.8768,139.327950269
"2093",17596143,5.1816,157.871056097
"2094",17596143,5.4864,177.524289939
"2095",17596143,5.7912,198.293284495
"2096",17596143,6.096,219.77543617
"2097",17596143,6.4008,242.357356719
"2098",17596143,6.7056,265.043621004
"2099",17596143,7.0104,289.400151825
"2100",17596143,7.3152,314.605722622
"2101",17596143,7.62,339.962249135
"2102",17596143,7.9248,366.853504245
"2103",17596143,8.2296,394.557425391
"2104",17596143,8.5344,422.655676094
"2105",17596143,8.8392,451.079195687
"2106",17596143,9.144,481.20298412
"2107",17596143,9.4488,512.100713027
"2108",17596143,9.7536,543.762806362
"2109",17596143,10.0584,575.057588165
"2110",17596143,10.3632,608.256815583
"2111",17596143,10.668,640.891641964
"2112",17596143,10.9728,675.601017219
"2113",17596143,11.2776,708.978548494
"2114",17596143,11.5824,741.581671045
"2115",17596143,11.8872,775.59821117
"2116",17596143,12.192,812.668072951
"2117",17596143,12.4968,851.23674658
"2118",17596143,12.8016,890.517446807
"2119",17596143,13.1064,930.503777241
"2120",17596143,13.4112,971.189565336
